Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","contextlib.closing",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.ContextDecorator",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.ExitStack",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.nullcontext",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.redirect_stderr",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.redirect_stdout",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","contextlib.suppress",1,0.00,0.00,0.00,0.00,"contextlib.py",
"Callee","__build_class__","copy.Error",1,0.00,0.00,0.00,0.00,"copy.py",
"Callee","__build_class__","datetime.date",1,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","__build_class__","datetime.datetime",1,0.00,0.00,0.02,0.02,"datetime.py",
"Callee","__build_class__","datetime.IsoCalendarDate",1,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","__build_class__","datetime.time",1,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","__build_class__","datetime.timedelta",1,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","__build_class__","datetime.timezone",1,0.00,0.00,0.01,0.00,"datetime.py",
"Callee","__build_class__","datetime.tzinfo",1,0.00,0.00,0.00,0.00,"datetime.py",
"Callee","__build_class__","dis.Bytecode",1,0.00,0.00,0.00,0.00,"dis.py",
"Callee","__build_class__","dis.Instruction",1,0.00,0.00,0.00,0.00,"dis.py",
"Callee","__build_class__","email._encoded_words._QByteMap",1,0.00,0.00,0.00,0.00,"_encoded_words.py",
"Callee","__build_class__","email._parseaddr.AddressList",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"Callee","__build_class__","email._parseaddr.AddrlistClass",1,0.00,0.00,0.00,0.00,"_parseaddr.py",
"Callee","__build_class__","email._policybase._PolicyBase",1,0.00,0.00,0.00,0.00,"_policybase.py",
"Callee","__build_class__","email._policybase.Compat32",1,0.00,0.00,0.00,0.00,"_policybase.py",
"Callee","__build_class__","email._policybase.Policy",1,0.00,0.00,0.00,0.00,"_policybase.py",
"Callee","__build_class__","email.charset.Charset",1,0.00,0.00,0.00,0.00,"charset.py",
"Callee","__build_class__","email.errors.BoundaryError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.CharsetError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.CloseBoundaryNotFoundDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.FirstHeaderLineIsContinuationDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.HeaderDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.HeaderMissingRequiredValue",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.HeaderParseError",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.InvalidBase64CharactersDefect",1,0.00,0.00,0.00,0.00,"errors.py",
"Callee","__build_class__","email.errors.InvalidBase64LengthDefect",1,0.00,0.00,0.00,0.00,"errors.py",
