Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"<frozen importlib._handle_fromlist",20,0.11,0.00,0.08,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.path_hook_for_FileFinder",8,0.01,0.00,0.02,0.00,"(frozen importlib._bootstrap_external)",
"hmac.<genexpr>",257,0.00,0.00,0.00,0.00,"hmac.py",
"sre_compile.isstring",108,0.00,0.00,0.00,0.00,"sre_compile.py",
"pickle._Pickler",1,0.00,0.00,0.01,0.01,"pickle.py",
"socket.getsockname",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"<frozen importlib._path_isabs",15,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"Random.seed",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"bytearray.translate",35,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.create_module",16,0.02,0.00,0.02,0.00,"(frozen importlib._bootstrap)",
"hashlib (module)",1,0.01,0.00,0.11,0.01,"hashlib.py",
"tempfile (module)",1,0.34,0.00,4.79,0.01,"tempfile.py",
"socketserver.TCPServer.fileno",1,0.00,0.00,0.02,0.01,"socketserver.py",
"email.header (module)",1,0.02,0.00,0.30,0.01,"header.py",
"opcode.def_op",119,0.00,0.00,0.00,0.00,"opcode.py",
"pickle.<listcomp>",1,0.01,0.00,0.13,0.01,"pickle.py",
"wsgiref.simple_server (module)",1,0.47,0.00,6.64,0.01,"simple_server.py",
"json.encoder.JSONEncoder",1,0.00,0.00,0.01,0.01,"encoder.py",
"sys.intern",97,0.00,0.00,0.00,0.00,"sys",
"re.compile",54,0.37,0.00,0.10,0.00,"re.py",
"bottle.<genexpr>",63,0.00,0.00,0.00,0.00,"bottle.py",
"<frozen importlib.has_location",112,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"pickle._Unpickler",1,0.00,0.00,0.01,0.01,"pickle.py",
"str.split",25,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"selectors.register",1,15.16,0.00,215.32,0.01,"selectors.py",
"warnings (module)",1,0.00,0.00,0.03,0.01,"warnings.py",
"bottle.BaseRequest",1,0.00,0.00,0.03,0.01,"bottle.py",
"base64 (module)",1,0.01,0.00,0.16,0.01,"base64.py",
"routes (module)",1,0.01,0.00,0.09,0.01,"routes.py",
"email.message (module)",1,0.08,0.00,1.08,0.01,"message.py",
"__future__ (module)",1,0.00,0.00,0.03,0.01,"__future__.py",
"wsgiref.handlers._needs_transcode",57,0.00,0.00,0.00,0.00,"handlers.py",
"threading.Thread.__init__",1,0.00,0.00,0.02,0.01,"threading.py",
"enum._create_pseudo_member_",4,0.00,0.00,0.02,0.00,"enum.py",
"str.isidentifier",119,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"wsgiref.handlers (module)",1,0.05,0.00,0.68,0.01,"handlers.py",
"pprint.PrettyPrinter",1,0.00,0.00,0.01,0.01,"pprint.py",
"configparser (module)",1,0.06,0.00,0.85,0.01,"configparser.py",
"lzma (module)",1,0.03,0.00,0.46,0.01,"lzma.py",
"nt._path_splitroot",15,0.00,0.00,0.00,0.00,"nt",
"sre_compile._generate_overlap_table",12,0.00,0.00,0.00,0.00,"sre_compile.py",
"<frozen importlib.<setcomp>",8,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"json.scanner (module)",1,0.02,0.00,0.29,0.01,"scanner.py",
"collections.<genexpr>",97,0.00,0.00,0.00,0.00,"__init__.py",
"os.<listcomp>",1,0.00,0.00,0.01,0.01,"os.py",
"threading._MainThread.__init__",1,0.00,0.00,0.05,0.01,"threading.py",
"str.translate",8,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"email._policybase._append_doc",6,0.00,0.00,0.00,0.00,"_policybase.py",
"types.DynamicClassAttribute.__get__",53,0.00,0.00,0.00,0.00,"types.py",
"weakref (module)",1,0.01,0.00,0.19,0.01,"weakref.py",
"socket.getfqdn",1,0.17,0.00,2.43,0.01,"socket.py",
"pdb.Pdb",1,0.00,0.00,0.01,0.01,"pdb.py",
"encodings.idna.getregentry",1,0.00,0.00,0.01,0.01,"idna.py",
"bottle.ConfigDict.__setitem__",5,0.00,0.00,0.00,0.00,"bottle.py",
"email.feedparser (module)",1,0.08,0.00,1.16,0.01,"feedparser.py",
"functools.wraps",18,0.00,0.00,0.00,0.00,"functools.py",
"traceback.StackSummary",1,0.00,0.00,0.01,0.01,"traceback.py",
"_imp.exec_dynamic",7,0.00,0.00,0.00,0.00,"_imp",
"_collections_abc.__iter__",58,0.00,0.00,0.00,0.00,"_collections_abc.py",
"importlib.machinery (module)",1,0.00,0.00,0.01,0.01,"machinery.py",
"threading.Condition.__init__",2,0.00,0.00,0.00,0.00,"threading.py",
"enum.__getattr__",20,0.00,0.00,0.00,0.00,"enum.py",
"encodings.idna (module)",1,0.05,0.00,0.71,0.01,"idna.py",
"myform (module)",1,13.12,0.00,186.39,0.01,"myform.py",
"fnmatch (module)",1,0.00,0.00,0.01,0.01,"fnmatch.py",
"enum.<genexpr>",62,0.00,0.00,0.00,0.00,"enum.py",
"mimetypes (module)",1,0.02,0.00,0.33,0.01,"mimetypes.py",
"email._encoded_words (module)",1,0.01,0.00,0.14,0.01,"_encoded_words.py",
"socket.setsockopt",1,0.00,0.00,0.01,0.01,"Unidentifiable Method",
"sre_compile._get_iscased",115,0.00,0.00,0.00,0.00,"sre_compile.py",
"str.partition",66,0.00,0.00,0.00,0.00,"Unidentifiable Method",
